Actor,ActorID,Year,Film,Votes,Rating,FilmID
Deepika Padukone,nm2138653,2020,Chhapaak,24845,5.1,tt9614460
Delroy Lindo,nm0005148,2020,Da 5 BloodsLX 2048,43915,11.4,tt9777644tt7400998
Demi Lovato,nm1416215,2020,Eurovision Song Contest: The Story of Fire Saga,76243,6.5,tt8580274
Demi Moore,nm0000193,2020,Songbird,5646,4.6,tt12592252
Demian Bichir,nm0065007,2020,The Midnight SkyThe Grudge,91473,9.899999999999999,tt10539608tt3612126
Demitra Sealy,nm6512927,2020,Debt CollectorsDeathwell,3490,9.7,tt10933680tt10476718
Denis O'Hare,nm0641354,2020,The Postcard KillingsDelete History,8026,11.5,tt4106514tt10627352
Denise Gough,nm1740112,2020,The Good Traitor,472,6.4,tt10375972
Denise Richards,nm0000612,2020,Money PlaneSwitchedReality Queen!Alpha Code,2559,14.3,tt7286966tt8068826tt5079362tt7507924
Deniz Akdeniz,nm2727714,2020,The High NoteSightless,12603,11.9,tt9308382tt10303430
Dennis Dugan,nm0240797,2020,"Love, Weddings & Other Disasters",781,5.1,tt10235718
Dennis Waterman,nm0913993,2020,Never Too Late,377,5.7,tt9115528
Derek Jacobi,nm0001394,2020,Come AwayThe HostSay Your Prayers,3550,15.7,tt5714470tt8316568tt4229826
Desmond Chiam,nm3706852,2020,Magic Camp,3390,6.3,tt3979300
Devon Bostick,nm1256602,2020,Words on Bathroom Walls,3719,7.1,tt8045906
Devon Sawa,nm0001701,2020,Hunter HunterDisturbing the Peace,6057,9.600000000000001,tt2226162tt5717194
Devyn A. Tyler,nm2154316,2020,UnhingedAntebellumOne of These Days,59588,17.6,tt10059518tt10065694tt8415728
Dhanush,nm1333687,2020,Pattas,1067,5.7,tt10750020
Diana Bang,nm3048983,2020,Coffee & Kareem,11989,5.1,tt9898858
Diana Silvers,nm9537602,2020,Ava,42637,5.4,tt8784956
Diane Keaton,nm0000473,2020,"Love, Weddings & Other Disasters",781,5.1,tt10235718
Diane Lane,nm0000178,2020,Let Him Go,13268,6.7,tt9340860
Dianna Agron,nm1872698,2020,Shiva Baby,1208,7.2,tt11317142
Dianne Wiest,nm0001848,2020,I Care a LotLet Them All Talk,88623,12.399999999999999,tt9893250tt10808832
Dichen Lachman,nm1901842,2020,Bad Therapy,596,4.3,tt8488518
Didi Conn,nm0174883,2020,The Mimic,111,4.4,tt5704368
Diedrich Bader,nm0046033,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Diego Boneta,nm1546300,2020,"Monster HunterNew OrderLove, Weddings & Other DisastersRevenge Ride",33589,20.4,tt6475714tt12474056tt10235718tt10510416
Diego Luna,nm0526019,2020,Wander Darkly,776,5.8,tt8902978
Dina Meyer,nm0000539,2020,Unbelievable!!!!!,753,5.3,tt2180583
Diora Baird,nm1401531,2020,Her Secret Family Killer,134,4.8,tt10696018
Disha Patani,nm7796669,2020,Baaghi 3Malang,17925,8.6,tt8366590tt9877170
Dolly Parton,nm0000573,2020,Christmas on the Square,2162,5.3,tt10627548
Dolly Wells,nm0920185,2020,The Stand In,1284,4.5,tt7970348
Domenick Lombardozzi,nm0518511,2020,The King of Staten Island,42901,7.1,tt9686708
Dominic Rains,nm1487670,2020,Modern Persuasion,131,4.7,tt2165922
Dominique Fishback,nm6195774,2020,Project Power,72541,6.0,tt7550000
Dominique Jackson,nm9500848,2020,Chick Fight,2323,4.6,tt10944486
Dominique Provost-Chalkley,nm3176450,2020,Like a House on Fire,115,6.0,tt10514240
Dominique Swain,nm0000663,2020,Girl Lost: A Hollywood StoryChronicle of a Serial KillerMeteor Moon,1984,14.799999999999999,tt10274284tt4269310tt13179918
Donald Faison,nm0265668,2020,Embattled,956,6.6,tt6539992
Donald Sutherland,nm0000661,2020,Alone,1768,4.8,tt10192566
Donna Murphy,nm0614220,2020,Anastasia,474,2.9,tt7014356
Donnie Yen,nm0947447,2020,MulanEnter the Fat Dragon,118320,11.3,tt4566758tt7335600
Dora Madison,nm2267725,2020,Lapsis,730,6.1,tt11540272
Dot-Marie Jones,nm0427963,2020,The Swing of Things,1127,2.9,tt6833470
Douglas Booth,nm3150488,2020,My Salinger Year,998,6.3,tt2222052
Douglas Henshall,nm0378112,2020,The Small Hand (Ghost Story),345,4.3,tt10846772
Douglas Hodge,nm0388061,2020,The Devil All the TimeThe Bet,99274,10.899999999999999,tt7395114tt7311770
Dougray Scott,nm0779084,2020,Sulphur and White,170,5.2,tt7334158
Doutzen Kroes,nm2143237,2020,Wonder Woman 1984,185527,5.4,tt7126948
Drew Barrymore,nm0000106,2020,The Stand In,1284,4.5,tt7970348
Drew Scheid,nm5902264,2020,The War with GrandpaWords on Bathroom WallsEmbattled,17957,19.299999999999997,tt4532038tt8045906tt6539992
Drew Van Acker,nm3216408,2020,Spy Intervention,836,3.9,tt7369550
Dwight Schultz,nm0776239,2020,"Happy Halloween, Scooby-Doo!",976,6.3,tt12838958
Dylan Bruce,nm1851313,2020,Search and Destroy,180,2.9,tt11791146
Dylan Gelula,nm3871647,2020,Horse GirlShithouse,17130,12.9,tt11388406tt11618536
Dylan O'Brien,nm3729721,2020,Love and MonstersFlashback,36250,14.2,tt2222042tt8372094
Dylan Playfair,nm5094403,2020,The SinnersOdd Man Rush,477,9.5,tt7171054tt8974352
Dylan Sprouse,nm0819851,2020,After We Collided,20250,5.0,tt10362466
Dylan Walsh,nm0909620,2020,JL Family Ranch 2,239,5.8,tt10302982
Ebon Moss-Bachrach,nm0609114,2020,Tesla,6621,5.0,tt5259822
Ed Harris,nm0000438,2020,Resistance,4670,6.4,tt6914122
Ed Helms,nm1159180,2020,Coffee & Kareem,11989,5.1,tt9898858
Ed O'Neill,nm0642145,2020,The Last Shift,1141,5.6,tt10661180
Ed Westwick,nm2067953,2020,Enemy Lines,928,4.4,tt9904802
Eddie Griffin,nm0341176,2020,The Comeback TrailBad President,1123,9.1,tt5420210tt10047958
Eddie Izzard,nm0412850,2020,The High NoteSix Minutes to Midnight,8500,12.100000000000001,tt9308382tt5114840
Eddie Redmayne,nm1519666,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
Eddie Steeples,nm1100337,2020,Jiu Jitsu,5320,2.9,tt9624766
Eden Brolin,nm2863262,2020,Arkansas,9759,6.0,tt9139586
Edgar Ramirez,nm1183149,2020,The Last Days of American CrimeResistance,14443,10.100000000000001,tt1552211tt6914122
Edi Gathegi,nm1346230,2020,The Last Thing He Wanted,13050,4.3,tt7456312
Eduardo Noriega,nm0635330,2020,Mark of the Devil,1929,3.2,tt7263040
Edward Asner,nm0000799,2020,M.O.M. Mothers of Monsters,838,5.6,tt8186932
Edward Holcroft,nm5685205,2020,Kindred,618,4.9,tt9742392
Eileen Davidson,nm0203308,2020,Middleton Christmas,149,5.3,tt10993786
Eileen O'Higgins,nm3640226,2020,MisbehaviourNowhere Special,5992,14.100000000000001,tt9148706tt11286640
Eiza Gonzalez,nm2555462,2020,I Care a LotBloodshotCut Throat City,146309,16.9,tt9893250tt1634106tt3547306
Ela Velden,nm5738712,2020,Dad WantedSin hijosVeinteanera: Divorciada y Fantastica,1410,15.899999999999999,tt12721188tt12785060tt7909434
Eleanor Matsuura,nm1915282,2020,The One and Only Ivan,9201,6.6,tt3661394
Eleanor Tomlinson,nm1870434,2020,Love Wedding Repeat,17923,5.5,tt5096470
Elena Anaya,nm0025745,2020,Rifkin's Festival,1369,6.0,tt8593904
Eli Goree,nm2345856,2020,One Night in Miami...,21368,7.2,tt10612922
Elisa Lasowski,nm2489799,2020,Night Shift,823,5.2,tt9850344
Elisabeth Moss,nm0005253,2020,The Invisible ManShirley,183774,13.3,tt1051906tt8430598
Elisabeth Rohm,nm0737533,2020,Ballbuster,109,3.1,tt8334452
Elisabeth Shue,nm0000223,2020,Greyhound,72827,7.0,tt6048922
Eliza Roberts,nm0731067,2020,My Brothers' Crossing,104,3.6,tt10719628
Eliza Scanlen,nm7340546,2020,The Devil All the Time,99133,7.1,tt7395114
Elizabeth Daily,nm0197354,2020,Valley Girl,2500,5.4,tt1266036
Elizabeth Debicki,nm4456120,2020,Tenet,323041,7.5,tt6723592
Elizabeth Hurley,nm0000167,2020,Then Came You,1077,6.2,tt8367084
Elizabeth Marvel,nm0555500,2020,News of the World,54032,6.8,tt6878306
Elizabeth Mitchell,nm0593310,2020,What We Found,371,5.1,tt7179594
Elizabeth Reaser,nm0714147,2020,Embattled,956,6.6,tt6539992
Ella Walker,nm10465905,2020,Wonder Woman 1984,185527,5.4,tt7126948
Elle Fanning,nm1102577,2020,All the Bright PlacesThe Roads Not Taken,23361,11.7,tt3907584tt9411866
Ellen Burstyn,nm0000995,2020,Pieces of a Woman,32629,7.1,tt11161474
Ellen Dubin,nm0239294,2020,The Crimes That Bind,3233,6.6,tt10915060
Ellen Hollman,nm1712005,2020,Love and MonstersArmy of One,37635,11.5,tt2222042tt7153488
Ellie Bamber,nm5166444,2020,The Show,204,6.9,tt9165824
Ellie Kemper,nm2608689,2020,The Stand In,1284,4.5,tt7970348
Elliott Gould,nm0001285,2020,Dangerous Lies,14617,5.3,tt10183816
Elodie Yung,nm1392388,2020,Secret Society of Second Born Royals,3537,4.8,tt10324122
Elpidia Carrillo,nm0001990,2020,The Tax CollectorSongbird,15390,9.399999999999999,tt8461224tt12592252
Elvy,nm1414227,2020,Mank,50094,7.0,tt10618286
Elyse Levesque,nm1137028,2020,The Big Ugly,1556,4.9,tt9441638
Elysia Rotaru,nm3011272,2020,The Sinners,319,4.3,tt7171054
Ema Horvath,nm7036568,2020,What Lies Below,2141,4.6,tt9264728
Emerald Fennell,nm2193504,2020,Promising Young Woman,61956,7.5,tt9620292
Emile Hirsch,nm0386472,2020,Force of NatureThe Comeback Trail,7981,10.2,tt10308928tt5420210
Emilia Clarke,nm3592338,2020,Murder Manual,388,2.3,tt12384178
Emilia Fox,nm0288976,2020,Blithe Spirit,2792,5.4,tt10334148
Emily Alyn Lind,nm3014840,2020,The Babysitter: Killer Queen,28110,5.8,tt11024272
Emily Baldoni,nm2032150,2020,Clouds,6539,7.5,tt6473066
Emily Beecham,nm2387806,2020,Sulphur and White,170,5.2,tt7334158
Emily Blunt,nm1289434,2020,Wild Mountain Thyme,2754,5.6,tt6842770
Emily Carey,nm6917958,2020,Anastasia,474,2.9,tt7014356
Emily Mortimer,nm0607865,2020,Relic,18209,6.0,tt9072352
Emily Swallow,nm2646861,2020,Haunting of the Mary Celeste,391,3.2,tt13192570
Emily Tosta,nm6376834,2020,Selfie Dad,169,3.6,tt6559576
Emma Bell,nm0068187,2020,The Argument,479,4.6,tt10307856
Emma Corrin,nm10128408,2020,Misbehaviour,5790,6.2,tt9148706
Emma D'Arcy,nm8458664,2020,Misbehaviour,5790,6.2,tt9148706
Emma Fuhrmann,nm3409535,2020,Murder in the Vineyard,141,4.9,tt11096446
Emma Mackey,nm8076281,2020,The Winter Lake,443,4.8,tt9778348
Emma Paetz,nm1967006,2020,Boys from County Hell,152,6.3,tt10262380
Emma Roberts,nm0731075,2020,The HuntHolidate,120778,12.6,tt8244784tt9866072
Emma Samms,nm0759924,2020,The Mystery of D.B. Cooper,1249,6.5,tt8694594
Emma Stone,nm1297015,2020,The Croods: A New Age,22014,7.0,tt2850386
Emma Thompson,nm0000668,2020,Dolittle,50409,5.6,tt6673612
Emmanuelle Vaugier,nm0891275,2020,Dying for Motherhood,124,5.2,tt11634320
Emmett J Scanlan,nm1631384,2020,Here Are the Young Men,120,6.3,tt5598868
Emmy Raver-Lampman,nm8287501,2020,aTypical Wednesday,150,6.0,tt9324808
Emory Cohen,nm1710309,2020,Flashback,175,7.2,tt8372094
Emun Elliott,nm2047170,2020,Marionette,1174,5.9,tt8237272
Enid Graham,nm0334027,2020,The Glorias,2248,5.4,tt7435316
Enrico Colantoni,nm0170186,2020,Feel the Beat,8637,6.3,tt10714856
Enrique Murciano,nm0006663,2020,The Half of It,29358,6.9,tt9683478
Eoin Macken,nm2151126,2020,I Am Fear,421,3.4,tt1369571
Eric Bana,nm0051509,2020,The Dry,3696,7.3,tt5144174
Eric Ladin,nm1426686,2020,Painter,136,4.3,tt7772872
Eric Lange,nm1441925,2020,AntebellumThe Empty Man,25446,11.600000000000001,tt10065694tt5867314
Eric Roberts,nm0000616,2020,Angels FallenGreatlandCollision EarthTop GunnerAsteroid-a-GeddonFree Lunch Express,2196,17.2,tt5759590tt8215480tt11765278tt12226808tt13298656tt12537570
Erica Gimpel,nm0319826,2020,Sylvie's Love,4470,6.8,tt9827834
Erica Lindbeck,nm6949652,2020,Digimon Adventure: Last Evolution KizunaLEGO DC: Shazam - Magic & MonstersBarbie Princess Adventure,1890,19.5,tt9507234tt12093878tt12767498
Erica Tazel,nm1801624,2020,Always and Forever,338,3.8,tt7544954
Erika Christensen,nm0159776,2020,Clover,244,4.3,tt7801350
Erika Harlacher,nm4808080,2020,A Whisker AwayYou've Got ThisDigimon Adventure: Last Evolution Kizuna,7763,20.1,tt11958344tt13118012tt9507234
Erin Gray,nm0001292,2020,Finding Grace,160,5.0,tt7838654
Erin Sanders,nm1139258,2020,The Call,1913,4.2,tt12971924
Erinn Hayes,nm0141613,2020,Bill & Ted Face the MusicHolly Slept Over,32286,11.6,tt1086064tt7453044
Essie Davis,nm0204583,2020,Miss Fisher & the Crypt of Tears,3071,6.1,tt9010738
Ester Dean,nm3637636,2020,Trolls World Tour,17584,6.1,tt6587640
Ethan Hawke,nm0000160,2020,TeslaCut Throat City,8357,9.9,tt5259822tt3547306
Ethan Peck,nm0669656,2020,The Midnight Sky,70419,5.6,tt10539608
Ethan Suplee,nm0839486,2020,The Hunt,73486,6.5,tt8244784
Eugene Cordero,nm3082341,2020,The High Note,7145,6.4,tt9308382
Eva Longoria,nm0519456,2020,Sylvie's Love,4470,6.8,tt9827834
Eva Melander,nm2514156,2020,Charter,737,6.3,tt9850050
Evan Jonigkeit,nm2797756,2020,The Empty ManThe Night House,7148,12.4,tt5867314tt9731534
Evan Rachel Wood,nm0939697,2020,KajillionaireViena and the Fantomes,10076,10.6,tt8143990tt3344686
Evan Williams,nm0930570,2020,Midnight at the Magnolia,4082,5.8,tt13318052
Eve Hewson,nm2016723,2020,Tesla,6621,5.0,tt5259822
Ever Carradine,nm0139936,2020,All My Life,1564,6.2,tt8305852
Ewan McGregor,nm0000191,2020,Birds of Prey,177659,6.1,tt7713068
Ewen Bremner,nm0001971,2020,Wonder Woman 1984,185527,5.4,tt7126948
Fahadh Faasil,nm1335704,2020,TranceC U Soon,8652,15.1,tt6720802tt12677092
Fairuza Balk,nm0000103,2020,The Craft: Legacy,7742,4.4,tt4685762
Faizon Love,nm0522324,2020,The War with GrandpaBulletproof 2,13736,9.2,tt4532038tt9887580
Famke Janssen,nm0000463,2020,The Postcard KillingsEndless,7756,10.5,tt4106514tt5723282
Faran Tahir,nm0846687,2020,I Am FearI'll Meet You There,564,8.4,tt1369571tt4578102
Fatima Sana Shaikh,nm0760778,2020,LudoSuraj Pe Mangal Bhari,32303,13.399999999999999,tt7212754tt10731264
Federico Castelluccio,nm0144843,2020,5th Borough,601,6.6,tt8241876
Felicity Jones,nm0428065,2020,The Midnight SkyDragon Rider,70908,11.1,tt10539608tt7080422
Felissa Rose,nm0741378,2020,Twisted Twin,102,5.3,tt12311640
Felix Mallard,nm6595038,2020,All the Bright Places,21827,6.5,tt3907584
Ferdia Walsh-Peelo,nm6916321,2020,Here Are the Young Men,120,6.3,tt5598868
Ferdinand Kingsley,nm2000850,2020,Mank,50094,7.0,tt10618286
Finn Cole,nm6806440,2020,Here Are the Young Men,120,6.3,tt5598868
Finn Wolfhard,nm6016511,2020,The Turning,10121,3.8,tt7510346
Fiona Dourif,nm1875040,2020,Tenet,323041,7.5,tt6723592
Fiona Shaw,nm0789716,2020,Enola HolmesAmmoniteKindred,141737,18.0,tt7846844tt7983894tt9742392
Fionn Whitehead,nm7887725,2020,Don't Tell a SoulThe Duke,2270,11.5,tt8046498tt11204094
Flula Borg,nm2887579,2020,Trolls World TourBad TherapyShe's in Portland,18503,15.899999999999999,tt6587640tt8488518tt7174660
Forest Whitaker,nm0001845,2020,Jingle Jangle: A Christmas Journey,15634,6.5,tt7736496
Fortune Feimster,nm3833084,2020,SoulChick FightFriendsgiving,219027,17.1,tt2948372tt10944486tt8431078
Frances Fisher,nm0004920,2020,Holidate,47292,6.1,tt9866072
Frances McDormand,nm0000531,2020,Nomadland,47068,7.6,tt9770150
Frances O'Connor,nm0640323,2020,Go Karts,2248,5.9,tt8116640
Frances de la Tour,nm0209428,2020,Enola HolmesDolittle,183090,12.2,tt7846844tt6673612
Francesca Hayward,nm8667557,2020,Audrey,875,7.3,tt10731386
Francois Arnaud,nm2957696,2020,She's in PortlandPaint,479,10.8,tt7174660tt11232208
Frank Dillane,nm0226817,2020,Viena and the Fantomes,508,4.1,tt3344686
Frank Grillo,nm0342029,2020,Jiu JitsuNo Man's Land,5704,8.0,tt9624766tt10449052
Frank Langella,nm0001449,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
Frank Welker,nm0919798,2020,"Scoob!Happy Halloween, Scooby-Doo!",21196,12.0,tt3152592tt12838958
Frankie Faison,nm0265670,2020,The GrudgeI'm Your Woman,27479,10.5,tt3612126tt10243992
Fred Armisen,nm0035488,2020,All Together Now,3202,6.5,tt3155342
Fred Melamed,nm0577329,2020,Shiva Baby,1208,7.2,tt11317142
Fred Stoller,nm0831550,2020,The Call,1913,4.2,tt12971924
Fred Tatasciore,nm0851317,2020,"Scoob!Mortal Kombat Legends: Scorpion's RevengeHappy Halloween, Scooby-Doo!LEGO DC: Shazam - Magic & MonstersElla Bella Bingo",33461,30.5,tt3152592tt9580138tt12838958tt12093878tt9537888
Fred Willard,nm0929609,2020,Have a Good Trip,6356,6.8,tt12133722
Freddie Highmore,nm0383603,2020,Dragon Rider,489,5.5,tt7080422
Frederick Schmidt,nm5520750,2020,Waiting for Anya,976,5.9,tt7095476
Freida Pinto,nm2951768,2020,Hillbilly ElegyLove Wedding Repeat,47686,12.2,tt6772802tt5096470
Gabourey Sidibe,nm2829737,2020,Antebellum,18498,5.7,tt10065694
Gabriel Basso,nm2773059,2020,Hillbilly Elegy,29763,6.7,tt6772802
Gabriel Bateman,nm5145655,2020,UnhingedThink Like a Dog,42122,11.1,tt10059518tt5929654
Gabriel Byrne,nm0000321,2020,Lost GirlsDeath of a Ladies' Man,17810,11.399999999999999,tt3111426tt7923118
Gabriella Wilde,nm3538539,2020,Wonder Woman 1984,185527,5.4,tt7126948
Gabrielle Union,nm0005517,2020,Fearless,1186,4.9,tt8675288
Gaia Weiss,nm4719349,2020,Meander,140,6.5,tt5752192
Gal Gadot,nm2933757,2020,Wonder Woman 1984,185527,5.4,tt7126948
Garret Dillahunt,nm0226813,2020,Sergio,8443,6.1,tt8750570
Gary Cole,nm0170550,2020,Darkness Falls,845,4.5,tt6647564
Gary Dourdan,nm0235427,2020,Righteous Villains,357,6.7,tt10920190
Gary Graham,nm0334048,2020,Unbelievable!!!!!,753,5.3,tt2180583
Gary Lockwood,nm0516972,2020,Unbelievable!!!!!,753,5.3,tt2180583
Gary Oldman,nm0000198,2020,MankA Place Among the Dead,50232,12.9,tt10618286tt13060796
Gary Sinise,nm0000641,2020,I Still BelieveJoe Bell,9100,12.0,tt9779516tt4651466
Gaspar Noe,nm0637615,2020,My Cousin,253,5.1,tt10023150
Geena Davis,nm0000133,2020,Ava,42637,5.4,tt8784956
Gemma Arterton,nm2605345,2020,Summerland,3691,7.0,tt6841122
Gemma Chan,nm2110418,2020,Let Them All Talk,7003,6.1,tt10808832
Gemma Jones,nm0428121,2020,Ammonite,8438,6.5,tt7983894
Gemma Whelan,nm2247629,2020,Emma.,34941,6.7,tt9214832
Genesis Rodriguez,nm1270009,2020,Centigrade,2120,4.3,tt8945942
Genevieve Hannelius,nm3129067,2020,Day 13,187,3.4,tt6829368
Genevieve O'Reilly,nm0642444,2020,The Dry,3696,7.3,tt5144174
Geoff Pierson,nm0682762,2020,The Wrong Missy,33302,5.7,tt9619798
George Clooney,nm0000123,2020,The Midnight SkyGrizzly II: The Concert,70868,9.2,tt10539608tt0093119
George Lopez,nm0520064,2020,The Tax CollectorCats & Dogs 3: Paws UniteNo Man's Land,10709,13.6,tt8461224tt12745164tt10449052
George Takei,nm0001786,2020,Aliens Stole My Body,113,3.5,tt12517908
Georgia King,nm2415436,2020,The Lost Husband,3550,6.0,tt4257940
Geraldine Hakewill,nm3507755,2020,Disclosure,184,5.4,tt7933796
Geraldine Viswanathan,nm6543093,2020,The Broken Hearts Gallery,4364,6.2,tt2140571
Gerard Butler,nm0124930,2020,Greenland,73545,6.4,tt7737786
Gethin Anthony,nm2167445,2020,Knuckledust,161,5.0,tt9109072
Gia Carides,nm0137140,2020,Penguin Bloom,5424,6.8,tt6317656
Gia Mantegna,nm1213456,2020,All for Nikki,159,5.0,tt4160608
Gia Skova,nm4341268,2020,The Serpent,430,3.0,tt6984230
Giancarlo Esposito,nm0002064,2020,UnpregnantStargirl,9093,12.5,tt10556022tt4858674
Gideon Adlon,nm4594069,2020,The Craft: Legacy,7742,4.4,tt4685762
Gilles Marini,nm1694302,2020,Waiting for Anya,976,5.9,tt7095476
Gillian Jacobs,nm1843026,2020,Come PlayMagic CampI Used to Go Here,14089,17.6,tt8004664tt3979300tt10887902
Gina Gershon,nm0000153,2020,Rifkin's FestivalCagefighterThe Mimic,1874,14.8,tt8593904tt5505992tt5704368
Gina McKee,nm0571160,2020,LX 2048,981,4.9,tt7400998
Gina Rodriguez,nm1752221,2020,Scoob!Kajillionaire,29788,12.2,tt3152592tt8143990
Ginger Gonzaga,nm2668086,2020,Bad Therapy,596,4.3,tt8488518
Giorgia Whigham,nm7939956,2020,What We Found,371,5.1,tt7179594
Giulio Berruti,nm1370153,2020,DownhillGabriel's Inferno: Part OneGabriel's Inferno: Part TwoGabriel's Inferno: Part Three,12869,24.8,tt4558376tt11316854tt13535454tt13535456
Glenn Close,nm0000335,2020,Hillbilly ElegyFour Good Days,29908,12.8,tt6772802tt10344522
Glenn Howerton,nm1097351,2020,The HuntArchenemy,75253,11.5,tt8244784tt11274100
Glenn Morshower,nm0607703,2020,The Runners,344,4.2,tt3290322
Glynn Turman,nm0877270,2020,The Way BackMa Rainey's Black Bottom,67026,13.7,tt8544498tt10514222
Goldie Hawn,nm0000443,2020,The Christmas Chronicles: Part Two,23535,6.0,tt11057644
Golshifteh Farahani,nm0267042,2020,Extraction,163880,6.7,tt8936646
Gong Li,nm0000084,2020,MulanLeap,117729,12.3,tt4566758tt10670442
Goran Visnjic,nm0899681,2020,Fatima,1936,6.6,tt2197936
Grace Calder,nm5849417,2020,Love Sarah,1344,6.2,tt9448932
Grace Fulton,nm1534201,2020,Vampire Dad,140,4.3,tt7400952
Grace Van Dien,nm1836948,2020,The BingeLady DriverRiding Faith,3842,15.4,tt10994688tt7562334tt5244812
Grace Van Patten,nm2665105,2020,The Violent Heart,150,5.2,tt8310476
Graham Greene,nm0001295,2020,TarBlue Ridge,1103,8.9,tt4351684tt11695190
Graham Norton,nm0636218,2020,SoulEurovision Song Contest: The Story of Fire SagaThe Stand In,292718,19.1,tt2948372tt8580274tt7970348
Grayson Russell,nm2124254,2020,Greyhound,72827,7.0,tt6048922
Greg Bryk,nm0117374,2020,My SpySecret Society of Second Born RoyalsParallel Minds,28197,14.7,tt8242084tt10324122tt7642500
Greg Cipes,nm0996651,2020,She's in Portland,323,5.5,tt7174660
Greg Evigan,nm0263760,2020,The Christmas Listing,356,5.2,tt11753704
Greg Grunberg,nm0342399,2020,Max Reload and the Nether BlastersBurning Dog,617,8.8,tt7424290tt3418854
Greg Kinnear,nm0001427,2020,Misbehaviour,5790,6.2,tt9148706
Gregg Sulkin,nm2116419,2020,This Is the Year,102,7.4,tt8231202
Gregory Alan Williams,nm0930707,2020,The BankerThe Warrant,21114,11.399999999999999,tt6285944tt10880084
Gregory Harrison,nm0002129,2020,The Vanished,7265,5.7,tt9794630
Grey Griffin,nm0217221,2020,"Mortal Kombat Legends: Scorpion's RevengeHappy Halloween, Scooby-Doo!LEGO DC: Shazam - Magic & MonstersBobbleheads: The Movie",13228,23.1,tt9580138tt12838958tt12093878tt13292206
Griffin Gluck,nm3838034,2020,Dinner in America,448,7.4,tt9058654
Gugu Mbatha-Raw,nm1813221,2020,MisbehaviourSummerlandCome Away,12351,18.9,tt9148706tt6841122tt5714470
Gus Birney,nm6262342,2020,I'm Thinking of Ending ThingsDarcy,65764,11.0,tt7939766tt3165210
Gustav Lindh,nm6625833,2020,Riders of JusticeOrca,3577,14.1,tt11655202tt12427724
Guy Pearce,nm0001602,2020,BloodshotDisturbing the Peace,64677,8.9,tt1634106tt5717194
Hadley Robinson,nm6044874,2020,I'm Thinking of Ending Things,65527,6.6,tt7939766
Hal Ozsan,nm1230639,2020,Last Moment of Clarity,1704,5.2,tt1929297
Haley Bennett,nm2247245,2020,The Devil All the TimeHillbilly Elegy,128896,13.8,tt7395114tt6772802
Haley Joel Osment,nm0005286,2020,Have a Good TripBad Therapy,6952,11.1,tt12133722tt8488518
Haley Lu Richardson,nm4726634,2020,Unpregnant,4998,6.3,tt10556022
Hallee Hirsh,nm0386645,2020,Chasing the Rain,163,4.3,tt2075078
Hallie Todd,nm0604699,2020,The Last Champion,265,7.0,tt5689056
Hamish Linklater,nm0512934,2020,10 Things We Should Do Before We Break Up,797,4.7,tt7939428
Hana Mae Lee,nm2443438,2020,The Babysitter: Killer Queen,28110,5.8,tt11024272
Hannah Emily Anderson,nm5557932,2020,The Curse of Audrey Earnshaw,884,4.8,tt7157146
Hannah Gross,nm2193120,2020,TeslaFallingFlashback,9271,18.5,tt5259822tt9143112tt8372094
Hannah Marks,nm2000954,2020,I Used to Go HereDinner in America,2827,13.0,tt10887902tt9058654
Hannah van der Westhuysen,nm1872518,2020,The Bay of Silence,1500,4.3,tt5617312
Happy Anderson,nm2322283,2020,Bad Boys for LifeThe New Mutants,182377,11.899999999999999,tt1502397tt4682266
Harland Williams,nm0005558,2020,Fearless,1186,4.9,tt8675288
Harriet Sansom Harris,nm0364748,2020,Baby,196,5.4,tt9760852
Harriet Walter,nm0910040,2020,Herself,1737,7.0,tt9902160
Harrison Ford,nm0000148,2020,The Call of the Wild,40272,6.8,tt7504726
Harry Lennix,nm0502015,2020,Emperor,787,5.6,tt8354752
Harry Melling,nm0577982,2020,The Old GuardThe Devil All the TimeSay Your Prayers,231170,18.799999999999997,tt7556122tt7395114tt4229826
Harry Shum Jr.,nm1484270,2020,All My Life,1564,6.2,tt8305852
Harvey Keitel,nm0000172,2020,Fatima,1936,6.6,tt2197936
Hassie Harrison,nm6076950,2020,Max Reload and the Nether Blasters,488,4.8,tt7424290
Hattie Morahan,nm0602455,2020,Enola Holmes,132681,6.6,tt7846844
Hayes MacArthur,nm1887429,2020,The Way BackThe Binge,37095,11.9,tt8544498tt10994688
Hayley Law,nm8004570,2020,SpontaneousEcho Boomers,6860,11.9,tt5774062tt4353270
Heather Doerksen,nm1976541,2020,Welcome to the Circle,222,3.3,tt3918800
Heather Graham,nm0001287,2020,"Love, GuaranteedDesperadosWander",26210,15.600000000000001,tt11100856tt1545304tt9689696
Heather McComb,nm0566187,2020,Mommy Is a Murderer,173,4.7,tt10514432
Hedda Stiernstedt,nm5329854,2020,Se upp for JonssonliganMin pappa MarianneFjols til Fjells,4585,15.7,tt8880922tt9894440tt10157810
Heike Makatsch,nm0538443,2020,"God, You're Such a Prick",140,5.0,tt11458628
Helen Hunt,nm0000166,2020,The Night Clerk,11122,5.5,tt7979142
Helen Mirren,nm0000545,2020,The One and Only IvanThe Duke,9324,12.3,tt3661394tt11204094
